wl,n,k
1.178,3.52432,8.12E-07
1.18,3.524,6.10E-07
1.182,3.52374,4.77E-07
1.184,3.52349,4.00E-07
1.186,3.52317,3.64E-07
1.188,3.5227,3.49E-07
1.19,3.522,3.41E-07
1.192,3.52106,3.24E-07
1.194,3.52011,3.00E-07
1.196,3.51942,2.70E-07
1.198,3.51929,2.39E-07
1.2,3.52,2.10E-07
1.202,3.52169,1.86E-07
1.204,3.52392,1.66E-07
1.206,3.52611,1.50E-07
1.208,3.52766,1.37E-07
1.21,3.528,1.25E-07
1.212,3.52673,1.15E-07
1.214,3.52428,1.05E-07
1.216,3.52126,9.59E-08
1.218,3.5183,8.75E-08
1.22,3.516,7.96E-08
1.222,3.51482,7.21E-08
1.224,3.51454,6.49E-08
1.226,3.51474,5.81E-08
1.228,3.51503,5.18E-08
1.23,3.515,4.60E-08
1.232,3.51437,4.07E-08
1.234,3.51329,3.58E-08
1.236,3.51203,3.14E-08
1.238,3.51084,2.74E-08
1.24,3.51,2.37E-08
1.242,3.50969,2.03E-08
1.244,3.50981,1.73E-08
1.246,3.51018,1.45E-08
1.248,3.51064,1.21E-08
1.25,3.511,9.95E-09
1.252,3.51113,8.14E-09
1.254,3.51104,6.62E-09
1.256,3.51079,5.37E-09
1.258,3.51042,4.38E-09
1.26,3.51,3.61E-09
1.262,3.50956,3.05E-09
1.264,3.50913,2.65E-09
1.266,3.50871,2.38E-09
1.268,3.50833,2.18E-09
1.27,3.508,2.02E-09
1.272,3.50772,1.86E-09
1.274,3.50749,1.69E-09
1.276,3.5073,1.52E-09
1.278,3.50714,1.37E-09
1.28,3.507,1.22E-09
1.282,3.50686,1.09E-09
1.284,3.50671,9.82E-10
1.286,3.50653,8.85E-10
1.288,3.5063,8.02E-10
1.29,3.506,7.29E-10
1.292,3.50562,6.65E-10
1.294,3.50519,6.08E-10
1.296,3.50475,5.57E-10
1.298,3.50434,5.10E-10
1.3,3.504,4.66E-10
1.302,3.50376,4.24E-10
1.304,3.50359,3.84E-10
1.306,3.50343,3.47E-10
1.308,3.50325,3.12E-10
1.31,3.503,2.81E-10
1.312,3.50265,2.53E-10
1.314,3.50222,2.29E-10
1.316,3.50178,2.07E-10
1.318,3.50135,1.87E-10
1.32,3.501,1.68E-10
1.322,3.50075,1.49E-10
1.324,3.50057,1.32E-10
1.326,3.50042,1.15E-10
1.328,3.50024,9.89E-11
1.33,3.5,8.47E-11
1.332,3.49966,7.22E-11
1.334,3.49925,6.13E-11
1.336,3.4988,5.19E-11
1.338,3.49838,4.40E-11
1.34,3.498,3.73E-11
1.342,3.49771,3.18E-11
