wl,n,k
1.708,2.4376,0.00E+00
1.71,2.4375,0.00E+00
1.712,2.4374,0.00E+00
1.714,2.4373,0.00E+00
1.716,2.4372,0.00E+00
1.718,2.4371,0.00E+00
1.72,2.437,0
1.722,2.437,0
1.724,2.437,0
1.726,2.437,0
1.728,2.437,0
1.73,2.437,0
1.732,2.437,0
1.734,2.437,0
1.736,2.437,0
1.738,2.437,0
1.74,2.437,0.00E+00
1.742,2.4369,0.00E+00
1.744,2.4368,0.00E+00
1.746,2.4367,0.00E+00
1.748,2.4366,0.00E+00
1.75,2.4365,0.00E+00
1.752,2.4364,0.00E+00
1.754,2.4363,0.00E+00
1.756,2.4362,0.00E+00
1.758,2.4361,0.00E+00
1.76,2.436,0
1.762,2.436,0
1.764,2.436,0
1.766,2.436,0
1.768,2.436,0
1.77,2.436,0
1.772,2.436,0
1.774,2.436,0
1.776,2.436,0
1.778,2.436,0
1.78,2.436,0.00E+00
1.782,2.4359,0.00E+00
1.784,2.4358,0.00E+00
1.786,2.4357,0.00E+00
1.788,2.4356,0.00E+00
1.79,2.4355,0.00E+00
1.792,2.4354,0.00E+00
1.794,2.4353,0.00E+00
1.796,2.4352,0.00E+00
1.798,2.4351,0.00E+00
1.8,2.435,0
1.802,2.435,0
1.804,2.435,0
1.806,2.435,0
1.808,2.435,0
1.81,2.435,0
1.812,2.435,0
1.814,2.435,0
1.816,2.435,0
1.818,2.435,0
1.82,2.435,0.00E+00
1.822,2.4349,0.00E+00
1.824,2.4348,0.00E+00
1.826,2.4347,0.00E+00
1.828,2.4346,0.00E+00
1.83,2.4345,0.00E+00
1.832,2.4344,0.00E+00
1.834,2.4343,0.00E+00
1.836,2.4342,0.00E+00
1.838,2.4341,0.00E+00
1.84,2.434,0
1.842,2.4339,0
1.844,2.4338,0
1.846,2.4337,0
1.848,2.4336,0
1.85,2.4335,0
1.852,2.4334,0
1.854,2.4333,0
1.856,2.4332,0
1.858,2.4331,0
1.86,2.433,0.00E+00
1.862,2.4329,0.00E+00
1.864,2.4328,0.00E+00
1.866,2.4327,0.00E+00
1.868,2.4326,0.00E+00
1.87,2.4325,0.00E+00
1.872,2.4324,0.00E+00
1.874,2.4323,0.00E+00
1.876,2.4322,0.00E+00
1.878,2.4321,0.00E+00
1.88,2.432,0
1.882,2.432,0
1.884,2.432,0
1.886,2.432,0
1.888,2.432,0
1.89,2.432,0
1.892,2.432,0
1.894,2.432,0
1.896,2.432,0
1.898,2.432,0
1.9,2.432,0.00E+00
1.902,2.432,0.00E+00
1.904,2.432,0.00E+00
1.906,2.432,0.00E+00
1.908,2.432,0.00E+00
1.91,2.432,0.00E+00
1.912,2.432,0.00E+00
1.914,2.432,0.00E+00
1.916,2.432,0.00E+00
1.918,2.432,0.00E+00
1.92,2.432,0
1.922,2.432,0
1.924,2.432,0
1.926,2.432,0
1.928,2.432,0
1.93,2.432,0
1.932,2.432,0
1.934,2.432,0
1.936,2.432,0
1.938,2.432,0
1.94,2.432,0.00E+00
1.942,2.4319,0.00E+00
1.944,2.4318,0.00E+00
1.946,2.4317,0.00E+00
1.948,2.4316,0.00E+00
1.95,2.4315,0.00E+00
1.952,2.4314,0.00E+00
1.954,2.4313,0.00E+00
1.956,2.4312,0.00E+00
1.958,2.4311,0.00E+00
1.96,2.431,0
1.962,2.431,0
1.964,2.431,0
1.966,2.431,0
1.968,2.431,0
1.97,2.431,0
1.972,2.431,0
1.974,2.431,0
1.976,2.431,0
1.978,2.431,0
1.98,2.431,0.00E+00
1.982,2.431,0.00E+00
1.984,2.431,0.00E+00
1.986,2.431,0.00E+00
1.988,2.431,0.00E+00
1.99,2.431,0.00E+00
1.992,2.431,0.00E+00
1.994,2.431,0.00E+00
1.996,2.431,0.00E+00
1.998,2.431,0.00E+00
2,2.431,0
2.002,2.431,0
2.004,2.431,0
2.006,2.431,0
2.008,2.431,0
2.01,2.431,0
2.012,2.431,0
2.014,2.431,0
2.016,2.431,0
2.018,2.431,0
2.02,2.431,0.00E+00
2.022,2.4309,0.00E+00
2.024,2.4308,0.00E+00
2.026,2.4307,0.00E+00
2.028,2.4306,0.00E+00
2.03,2.4305,0.00E+00
2.032,2.4304,0.00E+00
2.034,2.4303,0.00E+00
2.036,2.4302,0.00E+00
2.038,2.4301,0.00E+00
2.04,2.43,0
2.042,2.4299,0
2.044,2.4298,0
2.046,2.4297,0
2.048,2.4296,0
2.05,2.4295,0
2.052,2.4294,0
2.054,2.4293,0
2.056,2.4292,0
2.058,2.4291,0
2.06,2.429,0.00E+00
2.062,2.4289,0.00E+00
2.064,2.4288,0.00E+00
2.066,2.4287,0.00E+00
2.068,2.4286,0.00E+00
2.07,2.4285,0.00E+00
2.072,2.4284,0.00E+00
2.074,2.4283,0.00E+00
2.076,2.4282,0.00E+00
2.078,2.4281,0.00E+00
2.08,2.428,0
2.082,2.428,0
2.084,2.428,0
2.086,2.428,0
2.088,2.428,0
2.09,2.428,0
2.092,2.428,0
2.094,2.428,0
2.096,2.428,0
2.098,2.428,0
2.1,2.428,0.00E+00
2.102,2.428,0.00E+00
2.104,2.428,0.00E+00
2.106,2.428,0.00E+00
2.108,2.428,0.00E+00
2.11,2.428,0.00E+00
