wl,n,k
1.172,2.29978,0.00E+00
1.174,2.29965,0.00E+00
1.176,2.29952,0.00E+00
1.178,2.29939,0.00E+00
1.18,2.29926,0.00E+00
1.182,2.29913,0.00E+00
1.184,2.299,0.00E+00
1.186,2.29887,0.00E+00
1.188,2.29874,0.00E+00
1.19,2.29861,0.00E+00
1.192,2.29849,0.00E+00
1.194,2.29836,0.00E+00
1.196,2.29823,0.00E+00
1.198,2.29811,0.00E+00
1.2,2.29798,0.00E+00
1.202,2.29785,0.00E+00
1.204,2.29773,0.00E+00
1.206,2.29761,0.00E+00
1.208,2.29748,0.00E+00
1.21,2.29736,0.00E+00
1.212,2.29724,0.00E+00
1.214,2.29711,0.00E+00
1.216,2.29699,0.00E+00
1.218,2.29687,0.00E+00
1.22,2.29675,0.00E+00
1.222,2.29663,0.00E+00
1.224,2.29651,0.00E+00
1.226,2.29639,0.00E+00
1.228,2.29627,0.00E+00
1.23,2.29615,0.00E+00
1.232,2.29603,0.00E+00
1.234,2.29591,0.00E+00
1.236,2.29579,0.00E+00
1.238,2.29568,0.00E+00
1.24,2.29556,0.00E+00
1.242,2.29544,0.00E+00
1.244,2.29533,0.00E+00
1.246,2.29521,0.00E+00
1.248,2.2951,0.00E+00
1.25,2.29498,0.00E+00
1.252,2.29487,0.00E+00
1.254,2.29475,0.00E+00
1.256,2.29464,0.00E+00
1.258,2.29452,0.00E+00
1.26,2.29441,0.00E+00
1.262,2.2943,0.00E+00
1.264,2.29419,0.00E+00
1.266,2.29407,0.00E+00
1.268,2.29396,0.00E+00
1.27,2.29385,0.00E+00
1.272,2.29374,0.00E+00
1.274,2.29363,0.00E+00
1.276,2.29352,0.00E+00
1.278,2.29341,0.00E+00
1.28,2.2933,0.00E+00
1.282,2.29319,0.00E+00
1.284,2.29308,0.00E+00
1.286,2.29297,0.00E+00
1.288,2.29286,0.00E+00
1.29,2.29276,0.00E+00
1.292,2.29265,0.00E+00
1.294,2.29254,0.00E+00
1.296,2.29244,0.00E+00
1.298,2.29233,0.00E+00
1.3,2.29222,0.00E+00
1.302,2.29212,0.00E+00
1.304,2.29201,0.00E+00
1.306,2.29191,0.00E+00
1.308,2.2918,0.00E+00
1.31,2.2917,0.00E+00
1.312,2.29159,0.00E+00
1.314,2.29149,0.00E+00
1.316,2.29138,0.00E+00
1.318,2.29128,0.00E+00
1.32,2.29118,0.00E+00
