wl,n,k
1.234,2.297,0.0073
1.236,2.297,0.0072
1.238,2.297,0.0071
1.24,2.297,0.007
1.242,2.2969,0.007
1.244,2.2968,0.007
1.246,2.2967,0.007
1.248,2.2966,0.007
1.25,2.2965,0.007
1.252,2.2964,0.007
1.254,2.2963,0.007
1.256,2.2962,0.007
1.258,2.2961,0.007
1.26,2.296,0.007
1.262,2.296,0.0069
1.264,2.296,0.0068
1.266,2.296,0.0067
1.268,2.296,0.0066
1.27,2.296,0.0065
1.272,2.296,0.0064
1.274,2.296,0.0063
1.276,2.296,0.0062
1.278,2.296,0.0061
1.28,2.296,0.006
1.282,2.2959,0.0059
1.284,2.2958,0.0058
1.286,2.2957,0.0057
1.288,2.2956,0.0056
1.29,2.2955,0.0055
1.292,2.2954,0.0054
1.294,2.2953,0.0053
1.296,2.2952,0.0052
1.298,2.2951,0.0051
1.3,2.295,0.005
1.302,2.2949,0.005
1.304,2.2948,0.005
1.306,2.2947,0.005
1.308,2.2946,0.005
1.31,2.2945,0.005
1.312,2.2944,0.005
1.314,2.2943,0.005
1.316,2.2942,0.005
1.318,2.2941,0.005
1.32,2.294,0.005
1.322,2.2939,0.005
1.324,2.2938,0.005
1.326,2.2937,0.005
1.328,2.2936,0.005
1.33,2.2935,0.005
1.332,2.2934,0.005
1.334,2.2933,0.005
1.336,2.2932,0.005
1.338,2.2931,0.005
1.34,2.293,0.005
1.342,2.293,0.0049
1.344,2.293,0.0048
1.346,2.293,0.0047
1.348,2.293,0.0046
1.35,2.293,0.0045
1.352,2.293,0.0044
1.354,2.293,0.0043
1.356,2.293,0.0042
1.358,2.293,0.0041
1.36,2.293,0.004
1.362,2.2929,0.004
1.364,2.2928,0.004
1.366,2.2927,0.004
1.368,2.2926,0.004
1.37,2.2925,0.004
1.372,2.2924,0.004
1.374,2.2923,0.004
1.376,2.2922,0.004
1.378,2.2921,0.004
1.38,2.292,0.004
1.382,2.292,0.004
1.384,2.292,0.004
1.386,2.292,0.004
1.388,2.292,0.004
1.39,2.292,0.004
1.392,2.292,0.004
1.394,2.292,0.004
1.396,2.292,0.004
1.398,2.292,0.004
1.4,2.292,0.004
1.402,2.292,0.004
1.404,2.292,0.004
1.406,2.292,0.004
1.408,2.292,0.004
1.41,2.292,0.004
1.412,2.292,0.004
1.414,2.292,0.004
1.416,2.292,0.004
1.418,2.292,0.004
1.42,2.292,0.004
1.422,2.2919,0.004
1.424,2.2918,0.004
1.426,2.2917,0.004
1.428,2.2916,0.004
1.43,2.2915,0.004
1.432,2.2914,0.004
1.434,2.2913,0.004
1.436,2.2912,0.004
1.438,2.2911,0.004
1.44,2.291,0.004
1.442,2.291,0.0039
1.444,2.291,0.0038
1.446,2.291,0.0037
1.448,2.291,0.0036
1.45,2.291,0.0035
1.452,2.291,0.0034
1.454,2.291,0.0033
1.456,2.291,0.0032
1.458,2.291,0.0031
1.46,2.291,0.003
1.462,2.291,0.0029
1.464,2.291,0.0028
1.466,2.291,0.0027
